location,latitude,longitude
Perlis,6.517,100.2152
Kangar,6.4406,100.1984
Kedah,6.0499,100.5296
Alor Setar,6.1263,100.3672
Pulau Pinang,5.2632,100.4846
Georgetown,5.4141,100.3288
Perak,4.8073,100.8
Ipoh,4.6005,101.0758
Selangor,3.5092,101.5248
Kuala Lumpur,3.1319,101.6841
Melaka,2.1896,102.2501
Bandaraya Melaka,2.1896,102.2501
Negeri Sembilan,2.8707,102.2548
Seremban,2.7259,101.9378
Johor,1.9344,103
Johor Bahru,1.4556,103.7611
Pahang,3.9743,102.4381
Kuantan,3.8167,103.3333
Kelantan,5.1151,101.8892
Kota Bharu,6.1333,102.25
Terengganu,5.0936,102.9896
Kuala Terengganu,5.3292,103.1361
Sabah,5.4204,116.7968
Kota Kinabalu,5.975,116.0725
Sarawak,2.5574,113.0012
Kuching,1.5575,110.3439
Seberang Jaya,5.4,100.4667
Klang,3.0333,101.45
Petaling Jaya,3.0972,101.6444
Butterworth,5.3992,100.3639
Shah Alam,3.0722,101.5167
Sandakan,5.8388,118.1173
Sungai Petani,5.65,100.48
Pasir Gudang,1.5028,103.9356
Sibu,2.3,111.8167
Taiping,4.85,100.7333
Miri,4.3925,113.9861
Taman Johor Jaya,1.5333,103.8167
Putrajaya,2.93,101.69
Cukai,4.2332,103.4479
Labuan,5.3,115.22
Teluk Intan,4.0259,101.0213
Tawau,4.2448,117.8911
Bintulu,3.17,113.03
Batu Gajah,4.4667,101.05
Batu Pahat,1.85,102.93
Kluang,2.0336,103.3194
Muar,2.05,102.56
Lahad Datu,5.03,118.34
Bukit Mertajam,5.3631,100.4667
Air Hitam,1.55,103.11
Ampang,3.08,101.45
Bacuk,6.04,102.25
Bagan Datoh,3.59,100.47
Bagan Serai,5.01,100.32
Baling,5.41,100.55
Muar,2.03,102.34
Batu Pahat,1.5,102.56
Bandar Sri Aman,1.15,111.32
Bangi,7.17,117.12
Batu Caves,3.15,101.4
Batu Gajah,4.28,101.03
Batu Pahat,1.5,102.56
Bau,1.25,110.09
Beaufort,5.3,115.4
Bekok,2.2,103.07
Beluran,49.5,86.5
Bentung,3.31,101.55
Bidor,4.06,101.15
Bintangor,2.1,111.4
Bintulu,3.1,113
Beruas,4.3,100.47
Cameron Highlands,4.27,101.22
Changlun,6.25,100.26
Dungun,4.45,103.25
"Gemas	",2.37,102.36
Gerik,5.5,101.15
Gua Musang,4.53,101.58
Guntong,4.36,101.03
Gurun,5.49,100.27
Jasin,2.2,102.26
Jemaluang,2.16,103.52
Jembongan,6.45,117.2
Jerantut,18.4,-74.1
Kota Kinabalu,6,116.04
Jinjan,3.13,101.39
Jitra,6.16,100.25
Kota Kinabalu,6,116.04
Jinjan,3.13,101.39
Jitra,6.16,100.25
Kahang,2.12,103.32
Kajang,2.59,101.48
Kampar,4.18,101.09
Kampung Air Putih,4.15,103.1
Kampung Jerangau,4.5,103.1
Kampung Raja,5.45,102.35
Kangar,6.27,100.12
Kapit,2,112.55
Karak,3.25,102.02
Kelang,3.02,101.26
Ketuang,2.03,103.18
Kemaman,4.12,103.18
Kemasik,4.25,103.27
Keroh,5.43,101.01
Kota Belut,6.21,116.26
Kota Kinabalu,6,116.04
Kota Kubu Baharu,3.34,101.39
Kota Tinggi,1.44,103.53
Kuala Belait,4.35,114.11
Kuala Berang,5.05,103.01
Kuala Kangsar,4.46,100.56
Kuala Kelawang,2.56,102.05
Kuala Kerai,5.3,102.12
Kuala Lipis,4.1,102.03
Kuala Nerang,6.16,100.37
Kuala Pilah,2.45,102.15
Kuala Rompin,2.49,103.29
Kuala Selangor,3.2,101.15
Kuala Sepetang,4.49,100.28
Kudat,6.55,116.55
Kukup,1.2,103.27
Kulai,1.44,103.35
Kulim,5.22,100.34
Labis,2.22,103.02
Labuan,5.2,115.14
"Langkawi, Pulau",6.25,99.45
Langkon,6.3,116.4
Lawas,4.55,115.25
Lenggong,5.06,100.58
Lumut,4.13,100.37
Lundu,1.4,109.5
Maran,3.35,102.45
Marang,5.12,103.13
Marudi,4.11,114.19
Melalap,5.1,116.05
Mentakab,3.29,102.21
Mersing,2.25,103.5
Mukah,2.55,112.05
Nenasi,3.09,103.23
Niah,3.58,113.46
Padang Endau,2.4,103.38
Papar,5.45,116
Pasir Mas,6.02,102.08
Pasir Putih,5.5,102.24
Pekan,3.3,103.25
Pelabuan Kelang,3,101.23
Pemanggil Pulau,2.37,104.21
Pergau,5.23,102.02
Perhentian Kepulauan,5.24,102.42
Port Dickson,2.3,101.49
Port Kelang,3,101.23
Kuala Sepetang,45.06,22.18
Rajang,2.3,112
Ranau,6.02,116.4
Raub,3.47,101.52
Rawang,3.2,101.35
Redang,5.49,103.02
Sarikei,2.8,111.3
Sebuku Teluk,4,118.1
Segamat,2.3,102.5
Selama,5.12,100.42
Semporna,4.3,118.33
Serian,1.1,110.31
Yong Peng,2,103.3
Tapah,4.1977,101.2615
